num	cote	titre	commune	latitude	longitude	num_plan	physdesc	dimensions	description1	date	date_standard	echelle	description2	wikidata	merimee	commons	wikipedia	BNF	
1659	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 1	Papier ; encre noire et rouge, lavis, aquarelle	33 cm x 19 cm	"Projet d'isolement et d'agrandissement pour la cathédrale de Nîmes. N°4".	[1850]	1850-01-01 / 1850-12-31	0,2 cm / 1 m	1 plan ; timbre humide de la Commission des arts et édifices religieux (30 mai 1850) ; timbre humide de l'approbation pour le ministre (27 juin 1850) par le directeur de l'administration des Cultes.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1660	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 2	Papier ; encre noire, bleu et rouge, lavis, crayon	95 cm x 63 cm	"Cathédrale de Nîmes. Restauration". Par Antoine Henri Révoil, architecte diocésain.	12/06/1877	1877-06-12	1 cm / 1 m	1 plan ; signé ; approbation de l'évêque et du préfet ; timbre humide de l'approbation pour le ministre (27 juillet 1877) par le Chef du 2e bureau ; au verso : "Nîmes. Cathédrale. Restauration intérieure", vu au comité le 20 janvier 1879.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1661	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 3	Papier ; encre noire, lavis	48 cm x 32 cm	"Cathédrale de Nîmes. Projet de restauration de la partie supérieure de la tour". Par Antoine Henri Révoil, architecte diocésain.	06/02/1889	1889-02-06	1 cm / 1 m	1 élévation, 1 plan ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1662	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 4	Calque, collé sur papier ; crayon, aquarelle	43 cm x 27 cm	Détail de boiserie.	Sans date	1889-02-06	1 cm / 1 m	1 détail.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1663	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 5	Papier ; encre noire, lavis, aquarelle	61 cm x 50 cm	"Édifices diocésains. Cathédrale de Nîmes. Chapelle de la Vierge : restauration extérieure des façades". Par Antoine Henri Révoil, architecte diocésain.	16/12/1897	1897-12-16	1 cm / 1 m (plan de la chapelle) ; 0,5 cm / 1 m (plan général)	1 élévation, 2 plans ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1664	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 6	Papier ; encre noire, lavis, aquarelle	61 cm x 51 cm	"Édifices diocésains. Cathédrale de Nîmes. Chapelle de la Vierge : restauration extérieure des façades". Par Antoine Henri Révoil, architecte diocésain.	16/12/1897	1897-12-16	1 cm / 1 m (plan de la chapelle) ; 0,5 cm / 1 m (plan général)	1 élévation, 2 plans ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1665	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 7	Papier ; encre noire et rouge, lavis, aquarelle, crayon	75 cm x 62,5 cm	"Département du Gard. Cathédrale de Nîmes. Projet de restauration de la chapelle du S[ain]t-Sacrement". Par E. Jinson, architecte diocésain.	20/05/2003	20/05/1903	1 cm / 1 m	3 coupes, 1 plan, 1 élévation ; signé ; approbation de l'évêque et du préfet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1666	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 8	Papier ; encre noire et rouge, lavis, aquarelle, crayon	64 cm x 82 cm	"Édifices diocésains. Cathédrale de Nîmes. État actuel de la chapelle du S[ain]t-Sacrement". Par E. Jinson, architecte diocésain.	20/05/2003	20/05/1903	1 cm / 1 m	3 coupes, 2 plans ; signé ; approbation du préfet et l'évêque.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1667	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 9	Papier ; encre noire et rouge, aquarelle, lavis, crayon	35 cm x 45,5 cm	"Cathédrale de Nîmes. Chapelle du S[ain]t-Sacrement : grille de communion". Par E. Jinson, architecte diocésain.	[1905]	1905-01-01 / 1905-12-31	10 cm / 1 m	1 élévation, 1 plan ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1668	CP/F/19/7788	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 10	Papier ; encre noire et rouge, aquarelle, lavis	33 cm x 47 cm	"Cathédrale de Nîmes. Fosses d'aisances". Par E. Jinson, architecte diocésain.	[1905]	1905-01-01 / 1905-12-31	0,2 cm / 1 m (plan) ; 1 cm/ 1 m (coupes)	3 coupes, 1 plan ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
767	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 1	Calque ; encre noire, lavis	39,6 cm x 31,7 cm	"Plan de l'escalier pratiqué dans l'angle de la tour méridionale de la cathédrale de Châlons-s[ur]-M[arne] à la hauteur de la corniche sous la g[ran]de rose".	[1839]	1839-01-01 / 1839-12-31	5 cm / 1 m	1 plan ; n° d'enregistrement : 17085, 13189.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
768	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 2	Calque ; encre noire et bleue, lavis	26,6 cm x 37,5 cm	"Plan des toits et de la partie inférieure de la tour et du pilier O".	[1839]	1839-01-01 / 1839-12-31	5 cm / 1 m	1 plan ; n° d'enregistrement : 17085, 15476.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
769	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 3	Calque ; encre noire, lavis	47,2 cm x 32,7 cm	"Évêché de Châlons-s[ur]-Marne".	[1839]	1839-01-01 / 1839-12-31	0,5 cm / 1 m	1 plan.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
770	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 4	Papier ; encre noire et rouge, crayon, lavis	136 cm x 65,5 cm	"Plans, coupe et élévation d'une flèche de la cathédrale de Châlons-[sur-Marne], Marne. Par Barthélémy Jean Laidebeur, entrepreneur.	21/07/2020	1820-07-21	3 cm / 1 m	1 élévation, 1 coupe, 2 plans, (au verso) 2 détails ; signé ; approbation de la commission de surveillance (21 juillet 1820).		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
771	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 5	Papier ; encre noire, lavis, crayon	46,7 cm x 30,6 cm	"Élévation de la flèche de S[ain]t-Étienne du côté du midi et de l’échafaudage sur le contoure (sic)". Par Barthélémy Jean Laidebeur, entrepreneur.	21/07/2020	1820-07-21	2 cm / 1 toise (1,80 m)	1 élévation, 2 plans ; signé ; approbation de la commission de surveillance (21 juillet 1820).		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
772	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 6	Papier ; encres noire et rouge	39,8 cm x 28,2 cm	"Figure 1ere : plan de l’Église de S[ain]t-Étienne de Châlons-sur-Marne construite pendant le 12e siècle". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	0,35 cm / 1 m	1 plan ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer ce projet ; légende.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
773	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 7	Papier ; encre noire, lavis, crayon ; 1 retombe	39,8 cm x 28,2 cm	"Figure 2 : Élévation de l’Église S[ain]t-Étienne de Châlons-sur-Marne". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	0,35 cm / 1 m	1 dessin ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer le projet ; légende.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
774	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 8	Papier ; encre noire et rouge, lavis	39,8 cm x 28,2 cm	"Figure 3 : Coupe de la nef de l’Église cathédrale de Châlons-[sur-Marne]". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	0,35 cm / 1 m	1 coupe ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer ce projet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
775	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 9	Papier ; encre noire et rouge, lavis	39,8 cm x 28,2 cm	"Figure 4 : Plan de la tour côté B". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	2,5 cm / 1 m	1 plan ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer le projet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
776	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 10	Papier ; encre noire et rouge, lavis	39,8 cm x 28,2 cm	"Figure 5 : coupe sur la ligne J.N du plan figure 4 ; figure 6 : coupe sur la ligne NO du plan figure 4". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	2,5 cm / 1 m	1 coupe ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer ce projet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
777	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 11	Papier ; encre noire et rouge, lavis	39,8 cm x 28,2 cm	"Figure 7 : plan de la tour côté B". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	2,5 cm / 1 cm	1 plan ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer ce projet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
778	F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 12	Papier ; encre noire et rouge, lavis, crayon	39,8 cm x 28,2 cm	"Figure 8 : Coupe sur la ligne XZ ; figure 9 : coupe sur la ligne XY". Par Jean-Antoine Alavoine, architecte.	[16 novembre 1820]	1820-11-16	2,5 cm / 1 m	1 coupe ; joint au rapport sur le projet de reconstruction des flèches de la cathédrale de Châlons et moyens proposés pour améliorer ce projet.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
779	CP/F/19/7672	Châlons-sur-Marne : cathédrale Saint-Étienne	Châlons-sur-Marne	48.955	4.357777777	Plan 13	Calque ; encre noire, crayon	64,3 cm x 22 cm	"Flèche élevée sur la tour du nord de la cathédrale de Châlons-[sur-Marne] en 1520 par l'évêque Gilles de Luxembourg. D'après une ancienne tapisserie".	Sans date	1820-11-16	2,5 cm / 1 m	1 élévation ; n° d'enregistrement : 10271, 13183, 17085.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00078610	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG/800px-Cath%C3%A9drale_de_Ch%C3%A2lons_en_Champagne.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Ch%C3%A2lons		
