Nom_artiste
"Aamot, Rolf"
"Birkiye, Sefik"
"Biro, Atila"
"Bjarnarson, Gunnar"
"Blaine, Julien"
"Blais, Jean-charles"
"Blasco, Arcadi"
"Blau, Luigi"
"Bleken, Håkon"
"Blomstedt, Juhana"
"Bo, Lars"
"Bodini, Floriano"
"Bodley, Seóirse"
"Bódy, Gábor"
"Boesmans, Philippe"
"Boeykens, Walter"
"Boezem, Marinus"
"Bogusławski, Edward"
"Böhm, Gottfried"
"Boljka, Janez"
"Boltanski, Christian"
"Boman, Arild"
"Bonalumi, Agostino"
"Bondon, Jacques"
"Bonduel, Roger"
"Bonet, Eugeni"
"Bonnefoi, Christian"
"Bonnet, Philippe"
"Bonnier, Alexandre"
"Bonomi, Maria"
"Boon, Adri"
"Borgeaud, Bernard"
"Borges, Jacobo"
"Boriani, Davide"
"Born, Adolf"
"Börtz, Daniel"
"Bosch, Jordi"
"Bosch, Theo"
"Boshier, Derek"
"Botero, Fernando"
"Böttger, Klaus"
"Bouhours, Jean-michel"
"Bouilhet, Henri"
"Bourdin, Guy"
"Bourke, Brian"
"Bouthier, Bernard"
"Bozay, Attila"
"Božič, Darijan"
"Branch, Winston"
"Branchi, Walter"
"Brandl, Herbert"
"Brandy, Robert"
"Branzi, Andrea"
"Brasilier, André"
"Brassard, André"
"Brau, Jean-louis"
"Braverman, Charles"
"Breer, Robert"
"Brehmer, Kp"
"Breivik, Anne"
"Brener, Roland"
"Bretécher, Claire"
"Breytenbach, Breyten"
"Brânduș, Nicolae"
"Brô, René"
"Bru, Georges"
"Brun, Jean-françois"
"Brüning, Peter"
"Brunori, Enzo"
"Brunovský, Albín"
"Brus, Günter"
"Brusse, Mark"
"Bruyninckx, Rob"
"Bubenik, Gernot"
"Bućan, Boris"
"Bucki, Krzysztof"
"Buffet, Bernard"
"Bujarski, Zbigniew"
"Bukta, Imre"
"Bulatović, Miodrag"
"Bulteau, Michel"
"Bunk, Holger"
"Buraglio, Pierre"
"Buren, Daniel"
"Burgin, Victor"
"Buri, Samuel"
"Burkhard, Balthasar"
"Burssens, Jan"
"Busse, Hal"
"Bustamante, Jean-marc"
"Bustamante, Maris"
"Büttner, Werner"
"Cabrera, Benedicto"
"Cadere, André"
"Cahen, Robert"
"Calhau, Fernando"
"Calle, Sophie"
"Camesi, Gianfredo"
"Campredon, Jean-pierre"
"Cancela, Delia"
"Cane, Louis"
"Canella, Guido"
"Canevari, Angelo"
"Canino, Bruno"
"Cano, Francisco"
"Cantagrel, Gilles"
"Cantal-dupart, Michel"
"Cantón, Edgardo"
"Cantrill, Arthur"
"Capovila, Maurice"
"Capozzoli, Glauco"
"Cárdenas, Agustín"
"Cardew, Cornelius"
"Cardot, Jean"
"Carlini, Alessandro"
"Carlson, Cynthia"
"Carneiro, Alberto"
"Caro, Anthony"
"Carosone, Paolo"
"Carr-harris, Ian"
"Carreño, Aníbal"
"Carrier, Hervé"
"Carrière, Marcel"
"Carrino, Nicola"
"Carron, Pierre"
"Caruso, Bruno"
"Casadesus, Béatrice"
"Casaril, Guy"
"Cassani, Nino"
"Cassée, Dick"
"Castellanos, Antonio"
"Castelli, Luciano"
"Castiglioni, Niccolò"
"Castoro, Rosemarie"
"Castrillo, Eduardo"
"Castro-cid, Enrique"
"Castro, Lourdes"
"Catalano, Mario"
"Caulfield, Patrick"
"Ceccobelli, Bruno"
"Célice, Pierre"
"Cellini, Francesco"
"Ceroli, Mario"
"Chailloux, Roger"
"Métadier, Champion"
"Chanal, Henri"
"Chandra, Avinash"
"Charaf, Rafic"
"Charney, Melvin"
"Charon, Guy"
"Charpentier, Michel"
"Chateau, Maurice"
"Chauveau, François"
"Gerardo, Chavez"
"Chemay, Jacques"
"Chemetov, Paul"
"Chessex, Luc"
"Chevalier, Peter"
"Chia, Sandro"
"Chlanda, Marek"
"Choudhury, Rashid"
"Christen, Andreas"
"Christiaanse, Kees"
"Che, Chuang"
"Unruh, N.U."
"Cicchetti, Alberto"
"Cimiotti, Emil"
"Ciriani, Henri"
"Cirri, Antoine"
"Claisse, Geneviève"
"Clareboudt, Jean"
"Díaz, Claudio"
"Clemente, Francesco"
"Clerté, Jean"
"Clyne, Jeff"
"Coello, Francisco"
"Coen, Arnaldo"
"Çokay, Nevin"
"Coker, Adnan"
"Colescott, Robert"
"Collot, Gérald"
"Colmenares, Asdrúbal"
"Colombino, Carlos"
"Combas, Robert"
"Concepcion, Tomas"
"Constanté, Theo"
"Cooper, Stuart"
"Copello, Francisco"
"Corajoud, Michel"
"Corazón, Alberto"
"Coronel, Pedro"
"Corrigan, Peter"
"Cortázar, Octavio"
"Cortot, Jean"
"Corzas, Francisco"
"Cotani, Paolo"
"Couchot, Edmond"
"Coudrain, Brigitte"
"Coulson, Ian"
"Courant, Gérard"
"Craig-martin, Michael"
"Craig, Kate"
"Crama, Nico"
"Craven, David"
"Creuz, Serge"
"Crompton, Dennis"
"Cruz, Valentina"
"Csernus, Tibor"
"Csík, István"
"Cucchi, Enzo"
"Cueco, Henri"
"Cuéllar, Teresa"
"Cuenca, Arturo"
"Cupsa, Victor"
"Curl, John"
"Curnoe, Greg"
"Curran, Alvin"
"Cutforth, Roger"
"Cuvelier, Werner"
"Czapski, Józef"
"Czekała, Ryszard"
"Czinder, Antal"
"D'agostino, Peter"
"Daalder, Rene"
"Dadson, Philip"
"Dæhlin, Gitte"
"Damiani, Jorge"
"Damnjanović-damnjan, Radomir"
"Danby, Ken"
"Daneț, Cornelia"
"Dangelo, Sergio"
"Daniëls, René"
"Danko, Aleks"
"Daquin, Pierre"
"Darboven, Hanne"
"Dardi, Costantino"
"Das, Jatin"
"Dauriac, Jacqueline"
"Dave, Shanti"
"Davidovsky, Mario"
"Daws, Lawrence"
"Dean, Max"
"Dechezelle, Claude"
"Deganello, Paolo"
"Dehlholm, Kirsten"
"Delcuvellerie, Jacques"
"Delouche, Dominique"
"Demarco, Hugo"
"Denis, Claire"
"Dénissov, Vassily"
"Denny, Robyn"
"Dermit, Édouard"
"Derome, Philippe"
"Derossi, Pietro"
"Derungs, Martin"
"Deschamps, Gérard"
"Desclozeaux, Jean-pierre"
"Dessì, Gianni"
"Desvilles, Jean"
"Detoni, Dubravko"
"Devade, Marc"
"Dévényi, Sándor"
"Devreese, Frédéric"
"Dew, Bryan"
"Deyme, Jacqueline"
"Dezeuze, Daniel"
"Diba, Kamran"
"Dibbets, Jan"
"Dickson, Jennifer"
"Diehl, Hans-jürgen"
"Dietman, Erik"
"Digard, François"
"Dillemuth, Stephan"
"Dillenburg, Henri"
"Dimitrijević, Braco"
"Disler, Martin"
"Dittborn, Eugenio"
"Ditvoorst, Adriaan"
"Đurković, Dejan"
"Dlouhý, Bedřich"
"Dłużniewski, Andrzej"
"Dmitrienko, Pierre"
"Dodeigne, Eugène"
"Dolla, Noël"
"Domenig, Günther"
"Dominik, Tadeusz"
"Hisao, Domoto"
"Donaldson, Antony"
"Donatoni, Franco"
"Dorazio, Piero"
"Dorny, Bertrand"
"Dossi, Ugo"
"Downey, Juan"
"Doyle, Roger"
"Dragić, Nedeljko"
"Drahos, Tom"
"Drégely, László"
"Drenkhahn, Reinhard"
"Drogoz, Philippe"
"Druce, Duncan"
"Druillet, Philippe"
"Druks, Michael"
"Drummond, Dean"
"Duarte, Fernando"
"Dubois, Françoise"
"Dubon, Jorge"
"Dubrovay, Làszló"
"Duchoň, Josef"
"Düchting, Hajo"
"Duclos, Arturo"
"Dudant, Roger"
"Dufour, Kirsten"
"Dufrêne, François"
"Dulfan, Lucien"
"Dumas, Philippe"
"Dumitrescu, Iancu"
"Dumont, Thierry"
"Dumortier, Georges"
"Duprey, Jean-pierre"
"Durand, Philippe"
"Durkó, Zsolt"
"Dutary, Alberto"
"Duty, Claude"
"Duval, Daniel"
"Dwurnik, Edward"
"Dyreborg, Palle"
"Dyson, Brian"
"Džamonja, Dušan"
"Easydorchik, Edwin"
"Ebbesen, Torben"
"Eben, Petr"
"Echaurren, Pablo"
"Eckell, Ana"
"Edgü, Ferit"
"Edmond, Maggie"
"Edwards, Terry"
"Eerdmans, Emmy"
"Efrat, Benni"
"Egan, Felim"
"Egemar, Christian"
"Eguia, Fermin"
"Ehrenberg, Felipe"
"Eichbauer, Hélio"
"Einarson, Oddvar"
"Eizykman, Claudine"
"Elléouët, Yves"
"Elosegui, Rubén"
"Éloy, Jean-claude"
"Eloy, Mário"
"Eltit, Diamela"
"Bargeld, Blixa"
"Enckell, Carolus"
"Engel, Jacques"
"Engels, Pieter"
"Enokura, Koji"
"Enrico, Robert"
"Enstad, Ola"
"Eötvös, Péter"
"Erasmus, Nel"
"Erbil, Devrim"
"Erdok, Neşe"
"Eren, Cemil"
"Erma, Thomas"
"Esmeraldo, Sérvulo"
"Espinoza-duenas, Francisco"
"Essyad, Ahmed"
"Esztényi, Szabolcs"
"Étienne, Jacques"
"Export, Valie"
"Fabro, Luciano"
"Fahlström, Öyvind"
"Fahrner, Kurt"
"Faloci, Pierre-louis"
"Fargier, Jean-paul"
"Farhat, Safia"
"Farina, Ralston"
"Fariñas, Carlos"
"Farthing, Stephen"
"Farzaneh, Féri"
"Ahmed, Fatima"
"Faucheux, Pierre"
"Faucon, Bernard"
"Faure, Claude"
"Faure, Pierre"
"Favier, Philippe"
"Favro, Murray"
"Federle, Helmut"
"Feito, Luis"
"Feldmann, Hans-peter"
"Feledy, Gyula"
"Felguérez, Manuel"
"Fellegara, Vittorio"
"Fénelon, Philippe"
"Ferrari, Luc"
"Ferrer, Joaquim"
"Ferreyra, Beatriz"
"Ferris, Roger"
"Festa, Tano"
"Fichet, Pierre"
"Fila, Rudolf"
"Filko, Stanislav"
"Filliou, Robert"
"Fine, Jud"
"Finta, József"
"Firth-smith, John"
"Fischer, Egon"
"Jürgen-fischer, Klaus"
"Fischl, Eric"
"Fišer, Luboš"
"Flanagan, Barry"
"Fleischer, Alain"
"Fleury, Lucien"
"Folon, Jean-michel"
"Chung-ray, Fong"
"Fongaard, Bjørn"
"Fontana, Bill"
"Fontyn, Jacqueline"
"Forrest, Andrew"
"Förg, Günther"
"Forgency, Vladimir"
"Forissier, Roger"
"Fossier, Christian"
"Foster, Judith"
"Foulkes, Llyn"
"Fraile, Alfonso"
"Frankenthaler, Helen"
"Franse, Kees"
"Freed, Hermine"
"Freess, Edmond"
"Freitas, Ivan"
"Frémiot, Joël"
"Friberg, Roj"
"Friðfinnsson, Hreinn"
"Friedeberg, Pedro"
"Lutz, Friedel"
"Friedman, Ken"
"Friedmann, Gloria"
"Fritsch, Johannes"
"Frohner, Adolf"
"Frydland, Maurice"
"Frydman, Gérald"
"Fuchs, Hannes"
"Fukita, Fumiaki"
"Fuksas, Massimiliano"
"Fukushima, Hideko"
"Furnival, John"
"Fusaro, Jean"
"Gabetti, Roberto"
"Gachnang, Johannes"
"Gacs, Gábor"
"Gadenne, Bertrand"
"Gäfgen, Wolfgang"
"Gaj, Jacek"
"Galić, Mladen"
"Gamarra, José"
"Gandini, Gerardo"
"Garanjoud, Claude"
"Garcia-fons, Pierre"
"Garel, Philippe"
"Garouste, Gérard"
"Gasnier, Philippe"
"Gaucher, Yves"
"Gaudin, Henri"
"Gautrand, Jean-claude"
"Gavrilean, Dimitrie"
"Gazeau, Philippe"
"Gechtoff, Sonia"
"Gehry, Frank"
"Genovés, Juan"
"Geoffrey, Iqbal"
"Gerchman, Rubens"
"Gerngross, Heidulf"
"Gerz, Jochen"
"Gerzson, Pál"
"Gette, Paul-armand"
"Geysels, Ludo"
"Gharbaoui, Jilali"
"Ghertman, Alain"
"Giai-miniet, Marc"
"Gielniak, Józef"
"Giencke, Volker"
"Gierow, Gösta"
"Gierowski, Stefan"
"Gigliotti, Vittorio"
"Gijzen, Wim"
"Gilardi, Piero"
"Giorda, Patrice"
"Giralt, Juan"
"Girard, Raoul"
"Giraud, Michel"
"Girke, Raimund"
"Gironcoli, Bruno"
"Gironella, Alberto"
"Gläsker, Horst"
"Glasmeier, Rolf"
"Głaz, Kazimierz"
"Godard, Gabriel"
"Karpo, Godina"
"Goehr, Alexander"
"Goepfert, Hermann"
"Goeschl, Roland"
"Golub, Leon"
"Gonnet, Jean-louis"
"Górecki, Henryk"
"Gorgi, Abdelaziz"
"Gorman, Richard"
"Gossage, John"
"Goutin, Claude"
"Goy, Philippe"
"Graf, Ernst"
"Gran, Enrique"
"Grand, Toni"
"Grandjean, Raymond"
"Grassi, Andrea"
"Graßl, Herbert"
"Graves, Nancy"
"Grayson, Roy"
"Grela, Dante"
"Gresleri, Glauco"
"Greyson, John"
"Grifi, Alberto"
"Grippo, Victor"
"Grisey, Gérard"
"Grøn, Edith"
"Grosperrin, Claude"
"Grottesi, Marcello"
"Grzywacz, Zbylut"
"Guaccero, Domenico"
"Guansé, Antonio"
"Guccione, Piero"
"Gudmundsen-holmgreen, Pelle"
"Guðmundsson, Kristján"
"Guerreschi, Giuseppe"
"Guerrier, Philippe"
"Guevara, José"
"Guézec, Jean-pierre"
"Guillaumot, Bernard"
"Guino, Michel"
"Guiramand, Paul"
"Guitet, James"
"Güleryüz, Mehmet"
"Guzmán, Alberto"
"Hachette, Micheline"
"Hacke, Alexander"
"Hacker, Dieter"
"Hadid, Zaha"
"Hafstein, Níels"
"Hajnal, Gabriella"
"Hákonarson, Einar"
"Halter, Marek"
"Hamlyn, Nicky"
"Hamonet, Jean-pierre"
"Hanák, Dušan"
"Handke, Peter"
"Hanly, Pat"
"Hannula, Simo"
"Hanzik, Stanislav"
"Haraguchi, Noriyuki"
"Haring, Keith"
"Harloff, Guy"
"Hasegawa, Itsuko"
"Hatmanu, Dan"
"Haubenstock-ramati, Roman"
"Häuselmayer, Otto"
"Hauser, Erich"
"Hautala, Jorma"
"D'hauterives, Arnaud"
"Hauvette, Christian"
"Hawel, Jan"
"Head, Tim"
"Heider, Werner"
"Heisig, Johannes"
"Hélion, Jean"
"Henry, Jean-jacques"
"Herkenhoff, Paulo"
"Hermon, Michel"
"Hernández, Feliciano"
"Hernández, Mariano"
"Herrerabarría, Adriano"
"Herring, Ed"
"Hers, François"
"Hertzberger, Herman"
"Heske, Marianne"
"Hespos, Hans-joachim"
"Heyart, Ben"
"Heyboer, Anton"
"Heymann, Pierre-étienne"
"Hidalgo, Leonardo"
"Hietanen, Reino"
"Higgins, Dick"
"Highstein, Jene"
"Hikosaka, Naoyoshi"
"Hiller, Wilfried"
"Hillersberg, Lars"
"Hiltmann, Jochen"
"Hinze, Chris"
"Hiquily, Philippe"
"Pham, Hoang"
"Hoare, Stephen"
"Hockney, David"
"Hodgkin, Howard"
"Hofschen, Edgar"
"Højholt, Per"
"Hiller, Holger"
"Hollein, Hans"
"Höller, York"
"Holliger, Heinz"
"Holmens, Gérard"
"Holstein, Pieter"
"Holzer, Jenny"
"D'hooghe, Alain"
"Hoover, Nan"
"Horne, Jan"
"House, Gordon"
"Hozo, Dzevad"
"Hristić, Zoran"
"Hruška, Karel"
"Hubaut, Joël"
"Hubert, Pierre-alain"
"Huebler, Douglas"
"Huhtamo, Kari"
"Humair, Daniel"
"Hundertwasser, Friedensreich"
"Hung, Francisco"
"Hurtado, Angel"
"Huth, Eilfried"
"Huxley, Paul"
"Ianelli, Thomaz"
"Icaro, Paolo"
"Ikam, Catherine"
"Ikeda, Masuo"
"Imaï, Toshimitsu"
"Imhoof, Markus"
"Immendorff, Jörg"
"Kenji, Inumaki"
"Irwin, Gwyther"
"Iscan, Ferit"
"Iseli, Rolf"
"Ishiyama, Osamu"
"Isola, Aimaro"
"Ito, Toyo"
"Ivančić, Ljubo"
"Ivančić, Nina"
"Ivekovic, Sanja"
"Izenour, Steven"
"Jaar, Alfredo"
"Jaccard, Christian"
"Jacob, Harro"
"Jacquet, Alain"
"Jaffe, Lee"
"Jaffrennou, Michel"
"Jakubisko, Juraj"
"Jamís, Fayad"
"Jančić, Olga"
"Janicot, Françoise"
"Jankovič, Jozef"
"Jánoskúti, Márta"
"Jansen, Bernd"
"Janson, Alfred"
"Jeannesson, Jean-émile"
"Jemec, Andrej"
"Jensen, Anders"
"Heggenhougen-jensen, Berit"
"Jessemin, Aude"
"Johannessen, Jens"
"Johansson, Erling"
"Jomy, Alain"
"Thierry, Jonard"
"Jori, Marcello"
"Journiac, Michel"
"Jovánovics, György"
"Vincent, Joyce"
"Junius, Jean-pierre"
"Junquera, Jerónimo"
"Kada, Klaus"
"Kadishman, Menashe"
"Kaivanto, Kimmo"
"Kåks, Olle"
"Kamler, Piotr"
"Kampmann, Utz"
"Kanaan, Elie"
"Kanerva, Raimo"
"Kanervo, Marja"
"Minoru, Kanō"
"Mitsuo, Kanō"
"Kapfinger, Otto"
"Kapielski, Thomas"
"Kaplan, Nelly"
"Kaplický, Jan"
"Kapoor, Anish"
"Karayiğitoğlu, Hakkı"
"Kargl, Gerald"
"Karmitz, Marin"
"Karoušek, Valerian"
"Karwacki, Janusz"
"Kass, János"
"Kassovitz, Peter"
"Katt, Latika"
"Kauffman, Craig"
"Kavurić-kurtović, Nives"
"Kawaguchi, Tatsuo"
"Kawara, On"
"Kayn, Roland"
"Kazovsky, El"
"Kébadian, Jacques"
"Keigel, Léonard"
"Kele, Judit"
"Kelemen, Milko"
"Keller, Pierre"
"Kenny, Nelson"
"Kerleroux, Jean-marie"
"Kermarrec, Joël"
"Kern, Pascal"
"Kessner, Daniel"
"Ketelaar, Jan"
"Nguyễn, Khải"
"Kiefer, Anselm"
"Kieffer, Coryse"
"Kielholz, Heiner"
"Kierzkowski, Bronisław"
"Kiesewetter, Peter"
"Kilar, Wojciech"
"Tae-bong, Kim"
"Kirili, Alain"
"Kirkeby, Per"
"Yoshihisa, Kitatsuji"
"Kivijärvi, Harry"
"Klapheck, Konrad"
"Klasen, Peter"
"Klimó, Károly"
"Klinkan, Alfred"
"Klonári, María"
"Klotz, Lenz"
"Klusák, Jan"
"Knížák, Milan"
"Knoebel, Imi"
"Knowles, Justin"
"Koetsier, Hans"
"Kohl, Charles"
"Kohlhöfer, Christof"
"Köhnholdt, Uwe"
"Kolar, Boris"
"Kolb, Barbara"
"Kolberg, Kåre"
"Koller, Xavier"
"Kolman, Petr"
"Komorous, Rudolf"
"Kondō, Jō"
"Kondor, Béla"
"Konok, Tamás"
"Kopecký, Bohdan"
"Kopelent, Marek"
"Kopfermann, Sigrid"
"Kopicl, Vladimir"
"Koppel, Thomas"
"Korady, Anton"
"Koren, Leonard"
"Kos, Paul"
"Koskinen, Harro"
"Kosugi, Takehisa"
"Kosuth, Joseph"
"Kounellis, Yannis"
"Kovačević, Darko"
"Kovachevich, Thomas"
"Kovačić, Vladimir"
"Kowalski, Karla"
"Kowanz, Brigitte"
"Krahn, Fernando"
"Krause, Herbert"
"Kretz, Walter"
"Krieg, Dieter"
"Kriesche, Richard"
"Krikorian, Tamara"
"Krischanitz, Adolf"
"Kristofori, Jan"
"Krivoš, Rudolf"
"Kriwet, Ferdinand"
"Kroll, Lucien"
"Kubisch, Christina"
"Kubotta, Arturo"
"Kučerová, Alena"
"Küchenmeister, Rainer"
"Kudo, Tetsumi"
"Kuffler, Eugénie"
"Kulczyński, Jan"
"Kulhánek, Oldřich"
"Kuljerić, Igor"
"Kulmala, Matti"
"Kulon, Stanisław"
"Kuntzel, Thierry"
"Kunz, Włodzimierz"
"Kuperman, Cláudio"
"Kupkovič, Ladislav"
"Kuppel, Edmund"
"Kuroda, Aki"
"Küsters, Hans-martin"
"Labelle-rojoux, Arnaud"
"Lachenmann, Helmut"
"Lachièze-rey, Henri"
"Lacour, Simone"
"Laenen, Jean-paul"
"Lafontaine, Marie-jo"
"Lagrange, Yvan"
"Laguionie, Jean-françois"
"Lahaut, Pierre"
"Laing, Gerald"
"Lajoux, Jean-dominique"
"Lallement, Jacques"
"Laloux, Daniel"
"Laloux, René"
"Lambert, Jean-clarence"
"Lamelas, David"
"Lamy, Thierry"
"Lanati, Luciano"
"Landy, Leigh"
"Laneri, Roberto"
"Lang, Nikolaus"
"Lansky, Paul"
"Lanu, Olavi"
"Lardeur, Gérard"
"Laroque, Didier"
"Larrain, Gilles"
"Latil, Jean-claude"
"Lattier, Christian"
"Laurenti, Franco"
"Laurer, Berengar"
"Laury, Micha"
"Lavelli, Jorge"
"Lavie, Raffi"
"Lavier, Bertrand"
"Lavista, Mario"
"Lawrence, Eileen"
"Azerthiope, Guénolé"
"Léandre, Joëlle"
"Lebenstein, Jan"
"Leblanc, Walter"
"Leclercq, François"
"Lecoultre, Jean"
"Ledannois, Jean-marie"
"Lee, Caroline"
"Ufan, Lee"
"Leeman, Paul"
"Lehmden, Anton"
"Leissler, Arnold"
"Leistner-mayer, Roland"
"Leitch, Archie"
"Leite, António"
"Lejet, Édith"
"Harmel, Claude"
"Lemos, Fernando"
"Lenartowicz, Stanisław"
"Lenica, Jan"
"Lennarts, Johan"
"Lentz, Daniel"
"Leonardi, Alfredo"
"Letelier, Miguel"
"Levee, John"
"Lévêque, Claude"
"Lévêque, Yves"
"Levinas, Michaël"
"Levine, Les"
"Levy, Don"
"Libuda, Walter"
"Licata, Riccardo"
"Lie, Henny"
"Ligeti, Erika"
"Lijn, Liliane"
"Lin, Erh"
"Linares, Ezequiel"
"Lindblom, Sivert"
"Cardoso, Lindembergue"
"Linnovaara, Juhani"
"Lion, Yves"
"Lipinska, Christine"
"Lippens, Paul"
"List, Garrett"
"Guosong, Liu"
"Llinás, Guido"
"Lloyd, Ginny"
"Lødøen, Bjørg"
"Lombardo, Sergio"
"Lonsdale, Michael"
"Lopes, André"
"Lord, Chip"
"Loudová, Ivana"
"Louhichi, Taïeb"
"Lucassen, Reinier"
"Lucier, Mary"
"Lundberg, Claes"
"Lundell, Kert"
"Lundkvist, Per"
"Lundsten, Ralph"
"Luntz, Édouard"
"Lunven, François"
"Lupaș, Ana"
"Lüpertz, Markus"
"Lüthi, Urs"
"Lyall, John"
"Lyon, Corbett"
"Mabe, Manabu"
"Maben, Adrian"
"Macneil, Wendy"
"Macwilliam, David"
"Macchi, Egisto"
"Maccio, Romulo"
"Macgillivray, Greg"
"Machado, Ivens"
"Machado, Rodolfo"
"Mâche, François-bernard"
"Mack, Heinz"
"Macotela, Gabriel"
"Madden, Anne"
"Madeira, Manuel"
"Madigan, Martha"
"Maeda, Josaku"
"Magnolato, Cesco"
"Magris, Roberto"
"Mahou, Pascal"
"Mainolfi, Luigi"
"Mäkelä, Marika"
"Makovecz, Imre"
"Maksimović, Rajko"
"Malaval, Robert"
"Malovec, Jozef"
"Manahan, Johnny"
"Manai, Piero"
"Manders, Jos"
"Manfredi, Alberto"
"Mannoni, Gérard"
"Manoli, Pierre"
"Marangio, Carlo"
"Marfaing, André"
"Mărginean, Viorel"
"Mari, Enzo"
"Mariétan, Pierre"
"Marklund, Berto"
"Marquant, Peter"
"Marshall, Stuart"
"Martellotti, Paolo"
"Marten, Ruth"
"Marti, Mario"
"Martin, Mandy"
"Martineau, Anton"
"Martínez, Graciela"
"Martinez, Jacques"
"Martinis, Dalibor"
"Marzé, Émile"
"Masák, Miroslav"
"Masi, Denis"
